ncomp label gene_loading_ranked gene_name age_effect p_for_age race_effect p_for_race
1 pos_end 0.0154729505419039 MT-ND4 -0.0488324857895076 0.167346774748067 0.0315674018380992 0.371409966843939
1 pos_end 0.0150266620462327 MT-RNR2 -0.0572436011289586 0.0593564142120858 0.021746547180673 0.472113596181007
1 pos_end 0.0149926116217743 MT-CO3 0.00242548560506962 0.939138035291894 0.0247420205776648 0.436401972154512
1 pos_end 0.0146838062703911 MT-ND2 -0.0455503687560756 0.17054474432447 -0.0382719026648702 0.249211572016859
1 pos_end 0.0146276938926998 MT-CO2 -0.0275321104655528 0.365784437495893 0.017504506114203 0.565052103224058
1 pos_end 0.0145947279516513 MT-CYB -0.0562082632178742 0.105527520397878 -0.0355441111474928 0.305090565448115
1 pos_end 0.0145319013244637 MT-CO1 -0.0786788378938809 0.0999921943644063 0.0644710861096481 0.177222595947983
1 pos_end 0.0145286921236296 MT-ATP6 -0.0409221661676125 0.223212546873186 -0.0764011665423693 0.0235943155091345
1 pos_end 0.0144935491933251 MT-ND1 -0.0736979173164405 0.040139407648696 -0.0581726959334983 0.104550110171118
1 pos_end 0.0130801483984253 MT-ND5 -0.090393855148971 0.0183504302192926 0.0321799389264997 0.398257869623472
1 pos_end 0.013025086829713 MT-ND3 -0.0836145110235451 0.015206540759708 -0.0739103361512273 0.0316232934378935
1 pos_end 0.0126474065130045 MT-ND4L -0.0337742733734536 0.350988330055725 -0.00846216308181688 0.815046461160593
1 pos_end 0.0125852355803838 UBC 0.0237084190806716 0.316162415262457 0.0450049324917611 0.0578812357261106
1 pos_end 0.0125825301450722 EEF2 0.0137766341772675 0.326994953352795 0.0444360024523295 0.00176795100713169
1 pos_end 0.012573442682415 MT-RNR1 -0.0534447942394827 0.0816894972598481 0.00209873304746986 0.945287093931644
1 pos_end 0.0125617368546631 NEAT1 -0.0878676014968964 0.0250816004320222 0.0837343984488768 0.0326799433325874
1 pos_end 0.0124699702294053 ACTB 0.0552692498506038 0.0782596531879197 -0.0836417944244322 0.00800928249057149
1 pos_end 0.0124697266988282 EEF1A1 0.017839297378643 0.283971681156266 0.0382639491850337 0.0222301310501961
1 pos_end 0.0124116795433381 RPL3 0.00313403538588476 0.801241926233293 0.0234358835692333 0.0608823625616752
