ncomp label gene_loading_ranked gene_name age_effect p_for_age sex_effect p_for_sex race_effect p_for_race
1 pos_end 0.0172313532195694 MT-RNR2 0.577996504202043 3.8661186126001e-09 0.107970505424239 0.247361480739358 -0.0473476559878544 0.612921414966178
1 pos_end 0.0169164461428299 MT-CO1 0.634787227820321 4.28080313517136e-07 -0.0995173005471733 0.410038784595653 -0.16845499806306 0.165607118472444
1 pos_end 0.0168894280891189 MT-ND4 0.574420234768125 5.39354175921077e-09 -0.0293731901170096 0.75357684874569 -0.136188025985528 0.148267904754781
1 pos_end 0.0163423801777296 MT-CO2 0.388322007830029 7.72982668900807e-05 -0.165366752924154 0.0852700933614232 -0.164598168817893 0.0880194664691038
1 pos_end 0.0163188626430266 MT-CO3 0.277380943093254 0.00203266469493501 -0.111858856109013 0.206223095581397 -0.173298178011606 0.0518285688687211
1 pos_end 0.0162778795153482 MT-ND2 0.333183183636632 0.000264836409006199 -0.132150663970839 0.139941018926415 -0.290717139051162 0.00137848049355745
1 pos_end 0.0161731470798884 MT-ATP6 0.381066564919786 0.000276403545114986 -0.164818529499552 0.108780408655145 -0.308290637024205 0.00304941935951616
1 pos_end 0.0160770541170288 MT-CYB 0.505678870298398 6.58594379515985e-08 -0.0987735213976581 0.270759885297855 -0.195116548152554 0.0310315851531074
1 pos_end 0.0160307474308543 MT-ND1 0.524052985320596 4.56151413820585e-08 0.00570236864770125 0.950359559195101 -0.262475830875944 0.00474821043889366
1 pos_end 0.0154240863074596 MT-RNR1 0.567089868012726 4.05823550455841e-09 -0.00459645928290692 0.959957391610851 -0.131827276481729 0.152682591485532
1 pos_end 0.0151190166815427 MT-ND5 0.627260955680305 1.15189393486766e-08 -0.0133164057355307 0.898756940024889 -0.079865160734828 0.447638750523464
1 pos_end 0.0147289212388174 MBP -0.0571201087003 0.517985234452561 -0.0560098090522409 0.523988307303153 0.208295889386754 0.0190762081693316
1 pos_end 0.0143760094238765 GFAP 1.18227043383897 1.3246033838407e-23 0.252189018093519 0.0143909345590014 -0.0989562728264443 0.335642943847385
1 pos_end 0.01425751889285 MT-ND3 0.544321744624663 5.61035055348684e-09 -0.071028241589708 0.423982451392852 -0.256626716183805 0.00439498070596319
1 pos_end 0.0139745456535571 MT-ND4L 0.540008389290169 6.39420095146398e-08 -0.0195538224218691 0.83780917585567 -0.198487552241711 0.0396121732023911
1 pos_end 0.0139063878340336 MTATP6P1 0.665037244102729 5.99489046111623e-09 -0.000583256885996441 0.995717696890266 0.115147008036786 0.292043874758529
1 pos_end 0.0138506405536499 MT-ATP8 0.320331242400285 0.00037589272196468 -0.0975264192035688 0.269093650168937 -0.197955742083559 0.0262213537514097
1 pos_end 0.0137116592401992 MT-ND6 0.88303292650656 5.46904906311415e-11 -0.0460708845787165 0.715542159232269 0.0197772519031451 0.876178450068129
1 pos_end 0.0136513132672121 CLU 0.355251122911619 2.64572457268742e-06 0.0398727515371894 0.585374699158987 -0.0640754449706591 0.382912493046365
1 pos_end 0.0133231140871551 PLP1 -0.296412802829755 1.72796990453984e-05 -0.0332459148141508 0.61956605078775 0.0868001003814049 0.197597729716359
1 pos_end 0.0131797082665125 C7orf41 0.0346296711011258 0.590373734726034 -0.0241161137038766 0.706247609896213 0.185043512457476 0.00437722583863076
1 pos_end 0.0131619616614092 CALM1 -0.34952112310233 2.20734486701714e-13 -0.0120900167197766 0.783806563837996 0.0754791798092111 0.0892366019822955
