ncomp label gene_loading_ranked gene_name age_effect p_for_age race_effect p_for_race
1 pos_end 0.0142736733453256 EEF1A1 0.0673463558775384 0.00971076144898132 -0.0290110952009585 0.260076300580732
1 pos_end 0.014229165237572 MT-ND4 0.173898024016491 0.00527739001268883 -0.0356391803141966 0.561671668630907
1 pos_end 0.0140662551306212 MT-ND2 0.227589910134732 1.32498660195883e-05 -0.159260435951621 0.00189114187021403
1 pos_end 0.014001007458679 MT-RNR2 0.172911445357754 0.0100148259568355 -0.036251219603884 0.584476444800314
1 pos_end 0.0138995109134597 MT-CO3 0.316461786378626 1.60642279934051e-06 -0.0503992192291301 0.423883769973706
1 pos_end 0.0138916869811655 RPL3 0.103253626347626 7.5525175537844e-05 -0.0255980196331932 0.312072249533472
1 pos_end 0.0138758821097935 NEAT1 0.123626484936729 0.0427732859184088 0.0411490423046208 0.496955060299535
1 pos_end 0.0137451922257743 EEF2 0.0177224322165879 0.490004499297664 0.00665367268624579 0.795343293674807
1 pos_end 0.0137029673689734 MT-ATP6 0.2729721114602 6.13578927828453e-05 -0.277022821120274 4.83946622646683e-05
1 pos_end 0.0137026756420554 MT-CYB 0.211550795071899 0.00116765901428902 -0.10877604871839 0.089981380638242
1 pos_end 0.013684383548739 RPS6 0.183793160439656 2.06390613283195e-09 -0.0835863243219083 0.00391135918532464
1 pos_end 0.0136770441088396 ACTG1 -0.0270276728456516 0.365467355363382 0.0147257899308024 0.621553905184171
1 pos_end 0.0136292808171578 TPT1 0.0769291692863315 0.0145028228148364 -0.027627276210866 0.375005378667688
1 pos_end 0.0136188090545023 ACTB -0.106268668969746 0.00614358661680879 0.131032727887795 0.000799434102282603
1 pos_end 0.013593569988064 RPL13 0.0903067275141995 0.00369474700403381 -0.0575896721547899 0.0614966257117204
1 pos_end 0.0135810574279523 RPL4 0.120416898687207 6.70279850911665e-06 -0.04961027413561 0.0549870364139817
1 pos_end 0.0135141497448929 RPS4X 0.129110342381318 8.51226704621645e-07 -0.0318037907284475 0.204061013198987
1 pos_end 0.0134935622795762 MT-CO2 0.25127551247165 6.66220592640396e-06 -0.106674822480468 0.0480275081320495
1 pos_end 0.0134830611247517 RPS8 0.174495096734634 8.47821859359043e-09 -0.0416470284240951 0.14296551225894
1 pos_end 0.0134657917705102 EEF1A1P5 0.0774824314531277 0.0103089932612112 -0.0190748887592283 0.522537696943916
1 pos_end 0.0134522886684648 MALAT1 0.155501047282583 0.000692394818030237 0.0542601716687929 0.226999857992321
1 pos_end 0.0134233199519061 DCN -0.0807003344054473 0.138730493293011 -0.0492156177926234 0.365248982204653
1 pos_end 0.0134185421952526 COL6A1 0.0640486587458855 0.242654589160654 0.0447041306715915 0.414134838515859
1 pos_end 0.0133987033313083 AHNAK -0.107787079464075 0.000899152133078351 0.00195490902629737 0.950900150203424
1 pos_end 0.0133856559198792 RPL13A 0.121432718931384 1.18954750156484e-05 -0.00502422437456729 0.850571806875766
1 pos_end 0.0133855704556887 FLNA -0.0368360055951051 0.577669084375146 0.0936651012397704 0.158240196041173
1 pos_end 0.0133629309431561 RPL10 0.117047673938472 7.54200868368144e-06 -0.0375528398402891 0.136289352584654
1 pos_end 0.013354219980352 IGFBP5 0.344944613959362 0.000382553920838144 0.0853023986656376 0.368337115551745
1 pos_end 0.0133503833007401 SRRM2 -0.00102928750001653 0.969062936567629 -0.0484458447758428 0.069768037976424
1 pos_end 0.0133464928350227 COL6A2 -0.0150053977382876 0.776956237549401 0.0528488631338708 0.319292881097659
1 pos_end 0.0132907528802108 RPS3 0.168487890328465 1.53080738480331e-08 -0.0517316930285478 0.0654149211501479
1 pos_end 0.0132747705927033 COL1A1 -0.153581436729 0.0679234040832619 0.0533578419574457 0.523492745327508
1 pos_end 0.0132230773752276 RPS18 0.150528798989334 2.37847343468909e-05 -0.0210023833018539 0.541232332660266
1 pos_end 0.0131473381275983 RPL8 0.122164112625146 7.9640539161707e-06 -0.0441096114925995 0.0949302474737239
